,PCoA1,PCoA2,names
B-low-4-2,-0.13122752368823,0.20612977521187,B-low-4-2
B-low-4-3,-0.136577712907355,0.196750786041538,B-low-4-3
B-high-1-1,-0.00532305678985591,0.300536137998419,B-high-1-1
B-high-1-2,-0.0928251374014988,0.216570909210141,B-high-1-2
B-high-1-3,-0.0463858679032557,0.29977487837965,B-high-1-3
B-high-2-1,-0.0442873935115235,0.296304879460475,B-high-2-1
B-high-2-2,-0.0745465040364592,0.248112841809301,B-high-2-2
B-high-2-3,-0.0817259261758447,0.248483621449064,B-high-2-3
B-high-3-1,-0.080099713232779,0.267995519191272,B-high-3-1
B-high-3-2,-0.101061430491861,0.267924655215584,B-high-3-2
B-high-3-3,-0.104013226343316,0.263800889041825,B-high-3-3
B-high-4-1,0.0543005565664583,0.325936729507729,B-high-4-1
B-high-4-2,0.0276954861257583,0.354659774144384,B-high-4-2
B-high-4-3,0.0283990554553332,0.352391448348001,B-high-4-3
C-low-1-1,0.214124324329189,-0.013682593728262,C-low-1-1
C-low-1-2,0.0519692420372127,0.0626856020825528,C-low-1-2
C-low-1-3,-0.0147906761613342,0.0333376207246993,C-low-1-3
C-low-2-1,0.0658470450166531,0.094673849737037,C-low-2-1
C-low-2-2,-0.0335597297272599,0.0968336159276239,C-low-2-2
C-low-2-3,-0.0258154046825986,0.00495967320658534,C-low-2-3
C-low-3-1,0.0261955292798743,0.0702005671704769,C-low-3-1
C-low-3-2,0.0279220383701786,0.0733048860999864,C-low-3-2
C-low-3-3,0.0259469542239852,0.0488516158552865,C-low-3-3
C-low-4-1,-0.0357234387109934,0.0995613536050832,C-low-4-1
C-low-4-2,-0.0686847141801764,0.0973692211011946,C-low-4-2
C-low-4-3,0.0445651487448381,0.0763416321260717,C-low-4-3
C-high-1-1,0.0790656602831706,0.0983141586157323,C-high-1-1
C-high-1-2,0.0820295853803705,0.114669302704747,C-high-1-2
C-high-1-3,0.033749737553009,0.10771034297866,C-high-1-3
C-high-2-1,0.0178538387510058,0.161043465881064,C-high-2-1
C-high-2-2,0.100802124566185,0.107057132281901,C-high-2-2
C-high-2-3,0.142904403370987,0.0600833774404637,C-high-2-3
C-high-3-1,-0.0019381392961048,0.127023150439479,C-high-3-1
C-high-3-2,-0.0116175823796392,0.141138715422997,C-high-3-2
C-high-3-3,-0.0102133729999499,0.100122182260442,C-high-3-3
C-high-4-1,0.0152735396994994,0.187419321676308,C-high-4-1
C-high-4-2,-0.0284240507052298,0.139218337446483,C-high-4-2
C-high-4-3,-0.0195755310238999,0.151901326983909,C-high-4-3
D-low-1-1,0.446671988976054,-0.20370354165165,D-low-1-1
D-low-1-2,0.423960608409701,-0.130808472100925,D-low-1-2
D-low-1-3,0.291196712881649,-0.0650839291562422,D-low-1-3
D-low-2-1,0.374160459424852,-0.135685586191434,D-low-2-1
D-low-2-2,0.474548404397844,-0.172961541668032,D-low-2-2
D-low-2-3,0.430903480834434,-0.147970956145556,D-low-2-3
D-low-3-1,0.436053935907434,-0.177049325113326,D-low-3-1
D-low-3-2,0.322201160830838,-0.0503348364970976,D-low-3-2
D-low-3-3,0.419156639620815,-0.0473637963806947,D-low-3-3
D-low-4-1,0.334053500822826,-0.08053700236831,D-low-4-1
D-low-4-2,0.43670033009777,-0.12521427901624,D-low-4-2
D-low-4-3,0.404526403579333,-0.13378658844509,D-low-4-3
D-high-1-1,0.453312983328631,-0.190947748133549,D-high-1-1
D-high-1-2,0.366875220441403,-0.0592877464365766,D-high-1-2
D-high-1-3,0.285813568781518,-0.0138641228872443,D-high-1-3
D-high-2-1,0.360102542775573,-0.100893609481673,D-high-2-1
D-high-2-2,0.379929831923894,-0.1241419906919,D-high-2-2
D-high-2-3,0.192468767338604,-0.00150599052390632,D-high-2-3
D-high-3-1,0.484548563129599,-0.171852503376873,D-high-3-1
D-high-3-2,0.373862666286777,-0.0486244953438401,D-high-3-2
D-high-3-3,0.438681266302397,-0.137111186331062,D-high-3-3
D-high-4-1,0.488768823675087,-0.194149782478189,D-high-4-1
D-high-4-2,0.399821176805081,-0.0809442541663711,D-high-4-2
D-high-4-3,0.490531621697376,-0.184919231229,D-high-4-3
