ID	BM_SRS013506	BM_SRS015374	BM_SRS015646	BM_SRS017687	BM_SRS019221	BM_SRS019329	BM_SRS020336	BM_SRS022145	BM_SRS022532	BM_SRS045049	TD_SRS011243	TD_SRS013234	TD_SRS014888	TD_SRS015941	TD_SRS016086	TD_SRS016342	TD_SRS017713	TD_SRS019219	TD_SRS019327	TD_SRS043663
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0.0	0.0	0.0	0.00448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0.0	0.0	0.0	0.00448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00374	0.0	0.00297	0.09254	0.01988	0.0	0.10411	0.00028	0.00115	0.01659	0.02828	0.33281	0.04816	1.05318	0.47561	0.69134	0.29423	2.11123	0.27559	0.08441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00374	0.0	0.00297	0.09254	0.01988	0.0	0.10411	0.00028	0.00115	0.01659	0.02828	0.33281	0.04816	1.05318	0.47561	0.69134	0.29423	2.11123	0.27559	0.08441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.00374	0.0	0.00297	0.09254	0.01988	0.0	0.10411	0.00028	0.00115	0.01659	0.02828	0.33228	0.04816	1.053	0.47561	0.69118	0.29423	2.11123	0.27559	0.08441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.00374	0.0	0.00297	0.05531	0.01988	0.0	0.10411	0.00028	0.00115	0.01659	0.0282	0.32691	0.04816	1.053	0.47561	0.68707	0.28548	2.1082	0.27528	0.08385
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae	0.0	0.0	0.0	0.03723	0.0	0.0	0.0	0.0	0.0	0.0	8e-05	0.00537	0.0	0.0	0.0	0.00411	0.00876	0.00304	0.00031	0.00057
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.00016	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_exigua	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.00016	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	0.17203	0.07204	0.20894	3.07613	0.87737	3.41896	3.12914	0.29366	0.28991	1.02248	2.886	3.06181	2.11518	6.84768	6.35612	12.79197	4.60395	20.08605	7.92716	18.53521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.16551	0.03459	0.16874	2.60733	0.87562	0.20086	2.82504	0.15738	0.10531	0.30956	2.55933	2.93412	0.48838	6.82075	6.35047	12.67449	4.49662	20.03927	7.30796	18.51587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.16551	0.03459	0.16874	2.60733	0.87562	0.20086	2.82504	0.15738	0.10531	0.30956	2.55933	2.93412	0.48838	6.82075	6.35047	12.67449	4.49662	20.03927	7.30796	18.51587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.03168	0.0	0.0	0.01214	0.0	0.01134	0.0	0.00186	0.00545	0.00592	0.01068	0.00283	0.0048	0.00474	0.00061	0.00781	0.00891	0.00348	0.04475	0.00857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.03168	0.0	0.0	0.01214	0.0	0.01134	0.0	0.00186	0.00545	0.00592	0.01068	0.00283	0.0048	0.00474	0.00061	0.00781	0.00891	0.00348	0.04475	0.00857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_unclassified	0.03168	0.0	0.0	0.01214	0.0	0.01134	0.0	0.0	0.00545	0.00592	0.00744	0.00252	0.0048	0.00474	0.00061	0.00751	0.00891	0.00348	0.04475	0.00846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.00324	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.0	0.0	0.01241	0.27054	0.0	0.0	0.14068	0.00582	0.0	0.0	0.02644	0.01655	0.0	0.00921	0.0	0.0	0.03562	0.02439	0.0	0.00835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.0	0.0
