	Ensifer	Pantoea	Enterobacter	Pseudomonas	Bacillus	Lysobacter	Rhizobium	Acinetobacter	Streptomyces	Pseudoxanthomonas	Anoxybacillus	Chryseobacterium	Tepidimonas	Acidibacter	Novosphingobium	Methylobacillus	Arthrobacter	Glycomyces	Bryobacter	Blastocatella	Steroidobacter	Gaiella	Hyphomicrobium	Chryseolinea	Massilia	unidentified_Nitrospiraceae	Bradyrhizobium	Ohtaekwangia	Roseiflexus	Devosia	Promicromonospora	Serratia	Agromyces	Phenylobacterium	Enterococcus	Flavisolibacter	Methylotenera	Dyadobacter	unidentified_Methylophilaceae	Altererythrobacter	Cellulosimicrobium	Candidatus_Nitrososphaera	Variovorax	Solirubrobacter	Woodsholea	Candidatus_Entotheonella	Sporosarcina	Terribacillus	Illumatobacter	Gemmatimonas	Terrimonas	Chitinophaga	Bifidobacterium	Lysinibacillus	Modestobacter	Nocardioides	unidentified_Gemmatimonadetes	Methylophilus	Iamia	Opitutus	Aeromicrobium	Pseudonocardia	Aquicella	Polycyclovorans	Bosea	Marmoricola	Paenibacillus	Microvirga	Skermanella	Sorangium	Cellvibrio	Candidatus_Glomeribacter	Flavobacterium	Pedomicrobium	Niastella	Ramlibacter	Haloferula	Parasegetibacter	unidentified_GR-WP33-30	Variibacter	Kribbella	Lysinimonas	Exiguobacterium	Rhizocola	Bdellovibrio	Escherichia-Shigella	Dongia	Paucibacter	Fictibacillus	Candidatus_Alysiosphaera	Nordella	Sphingopyxis	Mycobacterium	Simiduia	Parafilimonas	Domibacillus	Reyranella	Polyangium	Ferruginibacter	Solitalea	Staphylococcus	Luteibacter	Blautia	Blastococcus	Acidovorax	Dechloromonas	Rhizobacter	Cellulomonas	unidentified_Cytophagaceae	Corynebacterium_1	Marinicella	Nitrosospira	Actinophytocola	Euzebya	Paracocccus	Rubellimicrobium	AKYG587	Aquabacterium	Niabella	Sporocytophaga	Nitrolancea	Luteolibacter	Agaricicola	Prosthecobacter
Bdellovibrio	0	0	0	0	-0.710714285714286	0	0	0	0	0	0	0	0	0	0.728571428571429	-0.747095919412946	0	0	0.760714285714286	0	-0.702413149113129	0	0	0	0	0	0	0	0	0.707142857142857	0	0	0	0	0.707142857142857	0	0	0	0	0	0	0	0	-0.703571428571429	0	0	0	0	0	0	0	0.732142857142857	0	0	0	0	0	0	-0.704831181466626	0.702513473078001	0	0.753571428571429	0	0	0	0	0	0	0.785714285714286	0	0	0	0	0.932142857142857	0	0	0	0	0	0.742857142857143	0.814285714285714	0	0	0	0	0.75	0	0.700625838301136	0	0	0	0.753571428571429	0.722720297747505	0	0	0	0	0	0	0	0	0	0	0	0.7828421356528	0	0.75	0	0	0	0	0	0	0.903571428571429	0	0	0	0	0	0	0	0	0.75	0
Escherichia-Shigella	-0.957142857142857	-0.728571428571429	0	0	0	0.75	0	0	-0.8	0	0	0	0	0	0.967857142857143	0	0	0.896428571428571	0.957142857142857	0	0	0.95	0.85	0	0.857142857142857	0	0.953571428571429	0	0.975	0	0.917857142857143	0	0	0	0.903571428571429	0	0	0	0	0	0	0.785714285714286	0.85	0	0.903231608243144	0	0	0.882142857142857	0.836461460012581	0	0	0.910714285714286	0.899017338432325	0	0	0.792857142857143	0.900804649244318	0.835714285714286	0	0.949826889620766	0	0.942857142857143	0	-0.867857142857143	0.909426184226067	0	0.721428571428571	0.903571428571429	0.928571428571429	0.843610703260552	0.828571428571429	0.75	0.757142857142857	0.717857142857143	0	0	0.932142857142857	0.965147838476055	0.852547257320515	0.953571428571429	0.875	0	0	0.939285714285714	0.75	0	0.959785906040077	0.893655405996347	0	0	0	0.946428571428571	0.983901395448335	0	0	0	0	0.935714285714286	0	0	0.903571428571429	0	0.903400372184381	0.909741203304282	0.91510313574026	0.867857142857143	0.971428571428571	0	0	0	0.753571428571429	0.940125487108157	0	0.7	0	0.963360527664062	0	0.925827000612216	0	0	0	0.924867311721435	0.882142857142857	0
Dongia	-0.96157321685207	-0.738159365352983	0	0	0	0	0	0	-0.788204068088778	0	0	0	0	0	0.932976243860187	0	0	0.884718851936384	0.932976243860187	0	0	0.931188933048194	0.840036081636567	0	0.832886838388596	0	0.934763554672179	0	0.947274730356128	0	0.87578229787642	0	0	0	0.861483811380479	0	0	0	0	0	0	0.766756338344866	0.793566000524756	0	0.898657961324897	0	0	0.886506162748377	0.819320214669052	-0.727435500481027	0.725648189669034	0.888293473560369	0.874776386404293	0	0	0.759607095096895	0.858676207513417	0.806077176208705	0	0.950676086830729	0	0.929401622236201	0	-0.872207676252435	0.899467198734551	0	0.723860878857041	0.913315824928267	0.863271122192471	0.807692307692308	0.800715243772727	0	0.734584743728998	0	0	0	0.888293473560369	0.926654740608229	0.858676207513417	0.931188933048194	0.816801041080661	0	0	0.932976243860187	0	0.959785906040077	0	0.864042933810376	0	0	0	0.932976243860187	0.957923391936446	0	0	0	0	0.92225237898823	0	0	0.909741203304282	0	0.904208061547486	0.856887298747764	0.883720930232558	0.832886838388596	0.959785906040077	0	0	0	0.770330959968851	0.960644007155635	0	0	0	0.971377459749553	0	0.89087656529517	0	0	0	0.934646748767897	0.827524905952618	0
Paucibacter	-0.859696500568486	0	0	0	0	0	0	0	-0.720286257233056	0	0	0.743521297788961	0	0	0.954423973604099	0	0	0.773905581592837	0.900804649244318	0	0	0.843610703260552	0.866845743816457	0	0.75603247347291	0	0.872207676252435	0	0.906166581680296	0	0.786416757276786	0	0	0	0.934763554672179	0	0	0	0	0	0	0.893655405996347	0.764969027532873	0	0.780271882587485	0	0	0.836461460012581	0.813953488372093	0	0.747095919412946	0.811439108644683	0.813953488372093	0	0	0.770330959968851	0.903398926654741	0.775692892404829	0	0.886101862064868	0	0.873994987064428	0	-0.723860878857041	0.786360545001464	0	0.745308608600954	0.806077176208705	0.806077176208705	0.73345259391771	0.873994987064428	0.820375662704647	0.84897263569653	0	0	0	0.890080784372362	0.865831842576029	0.738819320214669	0.881144230312398	0.822162973516639	0	0	0.850759946508523	0.700625838301136	0.893655405996347	0.864042933810376	0	0	0	0	0.854334568132508	0.879140907365972	0	0	0	0	0.816801041080661	0	0	0.841823392448559	0	0.807520466847359	0.914132379248658	0.858676207513417	0.773905581592837	0.891868095184355	0	0	0	0	0.831842576028623	0	0	0	0.86046511627907	0	0.851520572450805	0	0	0	0.87197886331411	0.938338176296165	0
Fictibacillus	0	0	0	0	0	0	0	0.745308608600954	0	0.75	0	0	0	0.846428571428571	0	0.727435500481027	0.710714285714286	0	0	0	0.750670541036932	0	0	0	0	0	0	0	0	0	0	0.739285714285714	0.700625838301136	0	0	0.757142857142857	0.713137013985085	0.732142857142857	0	0.775692892404829	0	0	0	0.739285714285714	0	0	0.825	0	0	0	0	0	0	0.803571428571429	0	0	0	0	0.715564651235153	0	0	0	0	0	0	0.75603247347291	0	0	0	-0.713137013985085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779267514028815	0	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0	0	0	0.799643497755284
Candidatus_Alysiosphaera	0	0	0.853571428571429	0	0	0	0	0	0	0	0.871428571428571	0	0.85	0.728571428571429	0	0.938338176296165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0.91510313574026	0.864285714285714	0	0.856121878944501	0	0	0	0	0	0	0.846428571428571	0	0	0	0	0	0	0.835714285714286	0	0	0	0	0.915922753580996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7828421356528	0	0	0	0	0	0.834674149200588	0	0	0	0	0
Nordella	0	0	0	0.807142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.703571428571429	0	0	0	0	0	0	0.864285714285714	0	0	0	0	0.817857142857143	0	0	0	0	0	0	0	0	0	0.778571428571429	0	0.746428571428571	0	0	0	0.821428571428571	0	0	0	0	0	0	0	0.8	0.735714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis	-0.896428571428571	0	0	0	0	0.778571428571429	0	0	-0.767857142857143	0	0	0.728571428571429	0	0	0.935714285714286	0	0	0.871428571428571	0.917857142857143	0	0	0.860714285714286	0.885714285714286	0	0.892857142857143	0	0.910714285714286	0	0.907142857142857	0	0.853571428571429	0	0	0	0.857142857142857	0	0	0	0	0	0	0.792857142857143	0.782142857142857	0	0.935489879966113	0.703571428571429	0	0.907142857142857	0.82931221676461	0	0	0.942857142857143	0.859696500568486	0	0	0.835714285714286	0.877569608688413	0.807142857142857	0	0.913984365484134	0	0.907142857142857	0	-0.771428571428571	0.909426184226067	0	0.757142857142857	0.846428571428571	0.932142857142857	0.811439108644683	0.807142857142857	0	0.721428571428571	0.732142857142857	0	0	0.878571428571429	0.884718851936384	0.897230027620333	0.925	0.885714285714286	0	0	0.875	0.753571428571429	0.946428571428571	0.932976243860187	0.854334568132508	0	0	0	0	0.933811869861875	0	0	0	0	0.878571428571429	0	0.738159365352983	0.882142857142857	0	0.830054995432777	0.84897263569653	0.91510313574026	0.821428571428571	0.960714285714286	0	0	0	0	0.906166581680296	0	0	0	0.913315824928267	0	0.888293473560369	0	0	0	0.914133841952908	0.885714285714286	0
Mycobacterium	-0.939178604746138	-0.733453767516032	0	0	0	0.720931386119417	0	0	-0.801432409383371	0	0	0	0	0	0.944545339630402	0	0	0.883722344275414	0.917711665209084	0	0	0.919500576837172	0.826477172176602	0	0.822899348920426	0	0.928445134977611	0	0.964223367539369	0	0.867622139622623	0	-0.734109515315781	0	0.869411051250711	0	0	0	0	0	0	0.758498530309262	0.824688260548514	0	0.8976675149126	0	0	0.872988874506887	0.813787255392737	-0.713775739607065	0	0.88730016753159	0.856759519703905	0	0	0.762076353565438	0.876455140846524	0.79427676287102	0	0.924597540359978	0	0.940967516374226	0	-0.885511255903502	0.90386671559234	0	0	0.87835560939115	0.906978195440556	0.81468251089922	0.796065674499108	0.742398325656471	0.73524267914412	0.704831181466626	0	0	0.91234493032482	0.957028136429963	0.838854409574252	0.964223367539369	0.860466493110272	0	0	0.917711665209084	0.722720297747505	0.983901395448335	0.957923391936446	0.879140907365972	0	0	0	0.933811869861875	0	0	0	0	0	0.908767107068644	0	0	0.87835560939115	0	0.879032258064516	0.880931418378937	0.922113171677139	0.826477172176602	0.953489897770841	0	0	0	0.765654176821614	0.932856237754931	0	0	0	0.968666458014238	0	0.892569739963212	0	0	0	0.938172043010753	0.855099758226008	0
Simiduia	0	0	0	0	0	0	0	0	0	0.842857142857143	0	0	0	0.760714285714286	0	0	0.860714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817857142857143	0	0.952636662792106	0	0	0	0	0	0	0	0	0	0	0	0	0.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.820375662704647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840036081636567	0	0	0	0	0	0	0	0	0	0	0	0	0.902591960056311	0	0	-0.746428571428571	0	0	0	0	0	0.917857142857143	0	0	0	0.773905581592837	0	0	0
Parafilimonas	0	0	0	0	0	0	0.757602862254025	0	0	0.861483811380479	0.732797432917005	0	0	0.852547257320515	0	0	0.809651797832691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757602862254025	0	0	0	0.809651797832691	0	0	0	0	0	0	0	0	0.840036081636567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840036081636567	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844364937388193	0	0	0	0	0	0	0	0	0.734584743728998	0	0	0	0.868515205724508	0	0	0
Domibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.764285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reyranella	0	0	0	0.792857142857143	0	0.864285714285714	0	0	0	0	0	0.835714285714286	0	0	0	0	0	0	0	0	0	0	0.778571428571429	0	0.746428571428571	0	0	0	0	0	0	0	0	0	0.717857142857143	0	0	0	0	0	0	0.775	0.707142857142857	0	0	0.860714285714286	0	0	0.759607095096895	0	0.735714285714286	0.717857142857143	0	0	0	0.835714285714286	0.702413149113129	0	0	0	0.8	0	0.707142857142857	0	0	0	0.839285714285714	0	0	0	0.721428571428571	0	0	0	0	0.735714285714286	0	0	0	0	0.728571428571429	0	0	0	0	0	0	0	0	0	0.810714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767857142857143	0
Polyangium	-0.971428571428571	-0.75	0	0	0	0	0	-0.722073568045049	-0.775	0	0	0	0	0	0.882142857142857	0	0	0.892857142857143	0.932142857142857	0.717857142857143	0	0.985714285714286	0.8	0	0.928571428571429	0	0.925	0	0.942857142857143	0	0.9	0	-0.732797432917005	0	0.907142857142857	0	0	0	0	0	0	0.714285714285714	0.917857142857143	0	0.870973336520175	0	0	0.889285714285714	0.879356919500406	0	0.707142857142857	0.914285714285714	0.950849351980114	0	0	0.864285714285714	0.888293473560369	0.910714285714286	0	0.96416389927542	0	0.914285714285714	0	-0.853571428571429	0.927363584309422	0	0.814285714285714	0.892857142857143	0.896428571428571	0.881144230312398	0.775	0.732142857142857	0.714285714285714	0	0	0	0.892857142857143	0.974084392536019	0.856121878944501	0.903571428571429	0.839285714285714	0	0	0.971428571428571	0	0.935714285714286	0.92225237898823	0.816801041080661	0	0	0	0.878571428571429	0.908767107068644	0	0	0	0	0	0	0	0.860714285714286	0	0.939178604746138	0.836461460012581	0.788204068088778	0.935714285714286	0.939285714285714	0	0	0	0	0.913315824928267	0	0	0	0.950849351980114	0	0.924039689800223	0	0	0	0.901611460556293	0.839285714285714	-0.72629812100368
Ferruginibacter	0	0	0	0.707775081549107	0.856121878944501	0	0	0	0	0	0.741733986976968	0	0.777480203216822	0.7095623923611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711349703173092	0	0.737030411449016	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788204068088778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725156960250954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791778689712764	0.740608228980322	0	0	0
Solitalea	0	0	0	0.731010122105012	0	0	0	0	0	0	0	0.75603247347291	0	0	0	0	0	0	0	0.722073568045049	0	0	0.734584743728998	0	0.757819784284902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741733986976968	0	0	0.739016127875963	0	0	0.713137013985085	0.729874776386404	0	0	0.732797432917005	0	0	0	0	0.731663685152057	0.770330959968851	0	0	0.704200459925122	0	0	0	0	0	0.705987770737114	0	0	0.791592128801431	0.713137013985085	0	0	0	0	0	0	0	0.794275491949911	0	0	0	0	0	0	0	0	0	0	0	0	0.738159365352983	0	0	0	0	0	0	0	0	0	0.7828421356528	0	0	0	0.757819784284902	0	0	0	0	0	0	0	0	0	0	0	0.715563506261181	0	0	0	0	0.713137013985085	0
Staphylococcus	-0.9	0	0	0	0	0	0	0	-0.732142857142857	0	0	0.721428571428571	0	0	0.917857142857143	0	0	0.9	0.917857142857143	0	0	0.882142857142857	0.885714285714286	0.739285714285714	0.789285714285714	0	0.939285714285714	0	0.907142857142857	0	0.896428571428571	0	0	0	0.882142857142857	0	0	0	0	0	0	0.875	0.760714285714286	0	0.842299317210868	0	0	0.8	0.80250255458472	0	0.785714285714286	0.85	0.809651797832691	0	0	0.767857142857143	0.866845743816457	0.775	0	0.867389084106511	0	0.85	0	-0.807142857142857	0.774895683600909	0	0.753571428571429	0.921428571428571	0.832142857142857	0.722073568045049	0.867857142857143	0	0.767857142857143	0	0	0	0.942857142857143	0.881144230312398	0.818588351892654	0.896428571428571	0.825	0	0	0.910714285714286	0	0.903571428571429	0.909741203304282	0.841823392448559	0	0	0	0.882142857142857	0.87835560939115	0	0	0	0	0.860714285714286	0	0	0	0	0.874777786134975	0.856121878944501	0.884718851936384	0.785714285714286	0.914285714285714	0	0	0	0	0.924039689800223	0	0	0	0.888293473560369	0	0.891868095184355	0	0	0	0.898033637300117	0.817857142857143	0
